session_id,timestamp,kpm,inter_key_avg,switch_rate,scroll_velocity,scroll_delta,mouse_entropy,idle_ratio,tab_count,domain_switches,time_of_day,cls_target
sess_0000,2026-05-14T09:00:00+00:00,9.49,,0.25,50.15,3.46,0.05,0.02,1,0.11,-0.7071,0.6
sess_0000,2026-05-14T09:01:00+00:00,10.48,,0.26,44.68,3.67,0.05,0.03,0,0.09,-0.7518,0.61
sess_0000,2026-05-14T09:02:00+00:00,9.11,,0.27,52.52,7.64,0.05,0.03,1,0.09,-0.7934,0.62
sess_0000,2026-05-14T09:03:00+00:00,8.63,,0.22,51.83,4.56,0.05,0.03,0,0.08,-0.8315,0.63
sess_0000,2026-05-14T09:04:00+00:00,11.47,,0.23,54.55,7.45,0.05,0.03,1,0.11,-0.866,0.64
sess_0000,2026-05-14T09:05:00+00:00,9.55,,0.25,51.69,5.89,0.05,0.03,1,0.09,-0.8969,0.65
sess_0000,2026-05-14T09:06:00+00:00,10.08,,0.28,50.86,6.34,0.05,0.03,1,0.08,-0.9239,0.66
sess_0000,2026-05-14T09:07:00+00:00,10.61,,0.29,42.83,6.29,0.06,0.02,1,0.05,-0.9469,0.67
sess_0000,2026-05-14T09:08:00+00:00,10.31,,0.23,57.83,6.62,0.05,0.03,1,0.12,-0.9659,0.68
sess_0000,2026-05-14T09:09:00+00:00,9.71,,0.25,44.39,7.54,0.06,0.02,0,0.11,-0.9808,0.69
sess_0000,2026-05-14T09:10:00+00:00,9.44,,0.24,49.42,4.76,0.05,0.03,0,0.05,-0.9914,0.7
sess_0000,2026-05-14T09:11:00+00:00,8.76,,0.27,44.71,6.15,0.05,0.02,1,0.08,-0.9979,0.71
sess_0000,2026-05-14T09:12:00+00:00,10.23,,0.27,58.57,4.83,0.05,0.02,1,0.13,-1.0,0.72
sess_0000,2026-05-14T09:13:00+00:00,9.71,,0.25,45.53,6.15,0.05,0.02,1,0.1,-0.9979,0.73
sess_0000,2026-05-14T09:14:00+00:00,9.68,,0.21,52.12,5.35,0.05,0.02,0,0.08,-0.9914,0.74
sess_0000,2026-05-14T09:15:00+00:00,10.14,,0.27,46.18,3.72,0.05,0.02,1,0.13,-0.9808,0.75
sess_0000,2026-05-14T09:16:00+00:00,9.42,,0.26,52.41,5.05,0.05,0.03,1,0.13,-0.9659,0.76
sess_0000,2026-05-14T09:17:00+00:00,11.05,,0.26,48.47,5.55,0.05,0.03,0,0.1,-0.9469,0.77
sess_0000,2026-05-14T09:18:00+00:00,10.13,,0.22,46.1,3.72,0.05,0.02,1,0.09,-0.9239,0.78
sess_0000,2026-05-14T09:19:00+00:00,9.64,,0.22,46.36,4.3,0.05,0.03,1,0.09,-0.8969,0.79
sess_0000,2026-05-14T09:20:00+00:00,9.41,,0.25,53.06,7.5,0.06,0.02,1,0.08,-0.866,0.8
sess_0000,2026-05-14T09:21:00+00:00,10.17,,0.26,54.77,3.7,0.05,0.02,1,0.12,-0.8315,0.81
sess_0000,2026-05-14T09:22:00+00:00,9.72,,0.25,40.41,3.26,0.05,0.02,0,0.1,-0.7934,0.82
sess_0000,2026-05-14T09:23:00+00:00,10.15,,0.24,48.56,3.07,0.05,0.03,0,0.09,-0.7518,0.83
sess_0000,2026-05-14T09:24:00+00:00,9.47,,0.24,47.04,4.65,0.05,0.02,0,0.11,-0.7071,0.84
sess_0000,2026-05-14T09:25:00+00:00,9.17,,0.24,49.15,4.9,0.05,0.03,1,0.09,-0.6593,0.85
sess_0000,2026-05-14T09:26:00+00:00,9.86,,0.26,54.1,5.25,0.05,0.03,1,0.08,-0.6088,0.86
sess_0000,2026-05-14T09:27:00+00:00,11.69,,0.29,45.26,6.35,0.05,0.03,0,0.08,-0.5556,0.87
sess_0000,2026-05-14T09:28:00+00:00,10.86,,0.25,46.6,7.28,0.05,0.03,0,0.09,-0.5,0.88
sess_0000,2026-05-14T09:29:00+00:00,9.71,,0.23,57.51,7.82,0.05,0.02,1,0.06,-0.4423,0.89
sess_0000,2026-05-14T09:30:00+00:00,10.45,,0.27,44.88,6.63,0.04,0.02,1,0.1,-0.3827,0.9
sess_0000,2026-05-14T09:31:00+00:00,9.03,,0.21,49.66,4.91,0.05,0.02,1,0.11,-0.3214,0.91
sess_0000,2026-05-14T09:32:00+00:00,9.92,,0.23,52.58,6.13,0.06,0.02,1,0.06,-0.2588,0.92
sess_0000,2026-05-14T09:33:00+00:00,9.47,,0.25,48.85,5.83,0.05,0.03,1,0.07,-0.1951,0.93
sess_0000,2026-05-14T09:34:00+00:00,9.1,,0.27,49.33,6.32,0.05,0.02,1,0.07,-0.1305,0.94
sess_0000,2026-05-14T09:35:00+00:00,9.19,,0.24,59.39,3.24,0.05,0.03,1,0.08,-0.0654,0.95
sess_0000,2026-05-14T09:36:00+00:00,10.94,,0.27,48.19,5.85,0.05,0.02,0,0.11,0.0,0.96
sess_0000,2026-05-14T09:37:00+00:00,11.28,,0.28,48.58,3.77,0.05,0.02,1,0.05,0.0654,0.97
sess_0000,2026-05-14T09:38:00+00:00,11.74,,0.23,59.87,4.64,0.05,0.03,1,0.1,0.1305,0.98
sess_0000,2026-05-14T09:39:00+00:00,10.53,,0.26,47.03,4.2,0.05,0.03,0,0.08,0.1951,0.99
sess_0001,2026-05-14T09:40:00+00:00,9.32,,0.24,49.06,6.36,0.05,0.03,0,0.11,0.2588,1.0
sess_0001,2026-05-14T09:41:00+00:00,10.71,,0.27,43.6,6.39,0.05,0.02,0,0.07,0.3214,1.01
sess_0001,2026-05-14T09:42:00+00:00,10.85,,0.27,47.86,7.48,0.05,0.02,1,0.1,0.3827,1.02
sess_0001,2026-05-14T09:43:00+00:00,10.47,,0.26,46.82,5.05,0.05,0.02,1,0.1,0.4423,1.03
sess_0001,2026-05-14T09:44:00+00:00,10.65,,0.25,47.62,5.62,0.05,0.03,1,0.09,0.5,1.04
sess_0001,2026-05-14T09:45:00+00:00,9.65,,0.26,46.57,3.68,0.05,0.02,1,0.09,0.5556,1.05
sess_0001,2026-05-14T09:46:00+00:00,10.73,,0.27,55.54,4.46,0.06,0.03,1,0.12,0.6088,1.06
sess_0001,2026-05-14T09:47:00+00:00,11.47,,0.21,47.83,4.28,0.05,0.02,1,0.08,0.6593,1.07
sess_0001,2026-05-14T09:48:00+00:00,10.77,,0.24,47.12,5.01,0.04,0.02,1,0.12,0.7071,1.08
sess_0001,2026-05-14T09:49:00+00:00,10.03,,0.25,57.35,6.02,0.04,0.03,1,0.08,0.7518,1.09
sess_0001,2026-05-14T09:50:00+00:00,9.61,,0.21,55.58,5.52,0.05,0.02,0,0.11,0.7934,1.1
sess_0001,2026-05-14T09:51:00+00:00,9.78,,0.23,48.64,3.88,0.06,0.03,0,0.07,0.8315,1.11
sess_0001,2026-05-14T09:52:00+00:00,10.2,,0.27,50.51,4.28,0.05,0.02,0,0.14,0.866,1.12
sess_0001,2026-05-14T09:53:00+00:00,10.77,,0.27,52.99,4.89,0.05,0.03,1,0.12,0.8969,1.13
sess_0001,2026-05-14T09:54:00+00:00,9.4,,0.26,55.52,2.32,0.05,0.03,1,0.11,0.9239,1.14
sess_0001,2026-05-14T09:55:00+00:00,9.5,,0.27,44.27,2.32,0.05,0.03,0,0.14,0.9469,1.15
sess_0001,2026-05-14T09:56:00+00:00,10.84,,0.21,49.27,5.05,0.05,0.03,1,0.11,0.9659,1.16
sess_0001,2026-05-14T09:57:00+00:00,10.95,,0.25,48.89,4.65,0.05,0.03,1,0.1,0.9808,1.17
sess_0001,2026-05-14T09:58:00+00:00,10.26,,0.25,47.59,5.16,0.05,0.02,1,0.13,0.9914,1.18
sess_0001,2026-05-14T09:59:00+00:00,10.35,,0.26,51.47,7.01,0.05,0.03,1,0.07,0.9979,1.19
sess_0001,2026-05-14T10:00:00+00:00,9.9,,0.29,56.51,3.15,0.05,0.02,0,0.07,1.0,1.2
sess_0001,2026-05-14T10:01:00+00:00,11.06,,0.24,48.74,6.07,0.04,0.03,1,0.08,0.9979,1.21
sess_0001,2026-05-14T10:02:00+00:00,10.71,,0.27,54.29,2.39,0.05,0.03,1,0.11,0.9914,1.22
sess_0001,2026-05-14T10:03:00+00:00,10.68,,0.26,46.48,4.92,0.05,0.03,1,0.08,0.9808,1.23
sess_0001,2026-05-14T10:04:00+00:00,9.7,,0.29,52.21,5.14,0.05,0.02,0,0.14,0.9659,1.24
sess_0001,2026-05-14T10:05:00+00:00,9.64,,0.27,51.43,7.42,0.05,0.03,1,0.11,0.9469,1.25
sess_0001,2026-05-14T10:06:00+00:00,8.85,,0.23,55.8,5.44,0.05,0.03,1,0.13,0.9239,1.26
sess_0001,2026-05-14T10:07:00+00:00,9.54,,0.28,43.68,4.76,0.05,0.03,0,0.1,0.8969,1.27
sess_0001,2026-05-14T10:08:00+00:00,9.88,,0.24,53.19,5.25,0.05,0.02,0,0.13,0.866,1.28
sess_0001,2026-05-14T10:09:00+00:00,9.7,,0.25,53.6,5.95,0.05,0.03,1,0.09,0.8315,1.29
sess_0001,2026-05-14T10:10:00+00:00,10.36,,0.3,51.56,4.55,0.05,0.02,0,0.13,0.7934,1.3
sess_0001,2026-05-14T10:11:00+00:00,11.42,,0.26,45.28,5.58,0.06,0.03,0,0.09,0.7518,1.31
sess_0001,2026-05-14T10:12:00+00:00,11.86,,0.29,56.8,4.8,0.05,0.03,1,0.08,0.7071,1.32
sess_0001,2026-05-14T10:13:00+00:00,10.41,,0.23,50.17,7.03,0.05,0.02,0,0.11,0.6593,1.33
sess_0001,2026-05-14T10:14:00+00:00,9.99,,0.28,55.87,4.39,0.04,0.03,0,0.1,0.6088,1.34
sess_0001,2026-05-14T10:15:00+00:00,9.73,,0.29,50.26,5.3,0.05,0.03,1,0.08,0.5556,1.35
sess_0001,2026-05-14T10:16:00+00:00,10.45,,0.21,49.54,2.99,0.05,0.03,1,0.09,0.5,1.36
sess_0001,2026-05-14T10:17:00+00:00,9.21,,0.26,51.73,6.75,0.05,0.02,1,0.09,0.4423,1.37
sess_0001,2026-05-14T10:18:00+00:00,11.49,,0.24,48.58,4.55,0.05,0.03,1,0.07,0.3827,1.38
sess_0001,2026-05-14T10:19:00+00:00,9.77,,0.22,54.66,5.46,0.05,0.02,0,0.1,0.3214,1.39
sess_0001,2026-05-14T10:20:00+00:00,9.91,,0.28,54.85,4.66,0.05,0.02,1,0.09,0.2588,1.4
sess_0001,2026-05-14T10:21:00+00:00,9.5,,0.23,53.3,6.48,0.04,0.03,1,0.07,0.1951,1.41
sess_0001,2026-05-14T10:22:00+00:00,10.7,,0.24,48.22,7.74,0.05,0.02,1,0.11,0.1305,1.42
sess_0001,2026-05-14T10:23:00+00:00,10.51,,0.23,54.05,5.51,0.05,0.02,1,0.08,0.0654,1.43
sess_0001,2026-05-14T10:24:00+00:00,10.52,,0.26,51.8,3.22,0.05,0.03,1,0.12,0.0,1.44
sess_0001,2026-05-14T10:25:00+00:00,10.8,,0.24,46.47,4.09,0.05,0.03,0,0.09,-0.0654,1.45
sess_0001,2026-05-14T10:26:00+00:00,9.31,,0.24,42.98,6.66,0.04,0.02,0,0.12,-0.1305,1.46
sess_0001,2026-05-14T10:27:00+00:00,9.27,,0.26,55.44,7.73,0.05,0.02,1,0.14,-0.1951,1.47
sess_0001,2026-05-14T10:28:00+00:00,10.28,,0.26,49.34,6.66,0.06,0.02,1,0.11,-0.2588,1.48
sess_0001,2026-05-14T10:29:00+00:00,10.67,,0.26,54.35,5.21,0.05,0.02,0,0.12,-0.3214,1.49
sess_0001,2026-05-14T10:30:00+00:00,9.34,,0.21,50.07,4.49,0.05,0.02,1,0.11,-0.3827,1.5
sess_0001,2026-05-14T10:31:00+00:00,10.1,,0.22,47.5,5.86,0.05,0.03,1,0.08,-0.4423,1.51
sess_0001,2026-05-14T10:32:00+00:00,10.27,,0.23,50.58,3.71,0.05,0.02,0,0.08,-0.5,1.52
sess_0001,2026-05-14T10:33:00+00:00,9.89,,0.23,46.42,6.94,0.05,0.03,0,0.08,-0.5556,1.53
sess_0001,2026-05-14T10:34:00+00:00,9.8,,0.25,52.11,3.45,0.05,0.02,1,0.1,-0.6088,1.54
sess_0001,2026-05-14T10:35:00+00:00,11.9,,0.25,45.61,5.51,0.06,0.03,0,0.12,-0.6593,1.55
sess_0001,2026-05-14T10:36:00+00:00,11.6,,0.24,50.95,5.66,0.05,0.03,1,0.11,-0.7071,1.56
sess_0001,2026-05-14T10:37:00+00:00,10.15,,0.27,50.02,2.73,0.05,0.03,1,0.12,-0.7518,1.57
sess_0001,2026-05-14T10:38:00+00:00,10.26,,0.27,45.99,3.26,0.05,0.02,0,0.07,-0.7934,1.58
sess_0001,2026-05-14T10:39:00+00:00,10.07,,0.26,56.63,4.88,0.05,0.02,0,0.09,-0.8315,1.59
sess_0001,2026-05-14T10:40:00+00:00,10.01,,0.24,46.77,5.1,0.05,0.03,0,0.08,-0.866,1.6
sess_0001,2026-05-14T10:41:00+00:00,10.02,,0.25,47.57,5.91,0.06,0.03,1,0.06,-0.8969,1.61
sess_0001,2026-05-14T10:42:00+00:00,9.67,,0.26,53.9,4.95,0.05,0.03,0,0.08,-0.9239,1.62
sess_0001,2026-05-14T10:43:00+00:00,9.96,,0.27,48.31,7.95,0.05,0.03,1,0.1,-0.9469,1.63
sess_0001,2026-05-14T10:44:00+00:00,9.52,,0.25,46.1,4.98,0.05,0.02,1,0.11,-0.9659,1.64
sess_0001,2026-05-14T10:45:00+00:00,9.0,,0.26,50.01,3.66,0.05,0.03,1,0.14,-0.9808,1.65
sess_0001,2026-05-14T10:46:00+00:00,10.53,,0.25,55.73,6.47,0.05,0.02,1,0.08,-0.9914,1.66
sess_0001,2026-05-14T10:47:00+00:00,10.16,,0.28,53.12,0.08,0.05,0.03,1,0.11,-0.9979,1.67
sess_0001,2026-05-14T10:48:00+00:00,9.51,,0.24,48.39,4.18,0.05,0.03,1,0.12,-1.0,1.68
sess_0001,2026-05-14T10:49:00+00:00,10.02,,0.3,51.44,4.46,0.05,0.03,0,0.11,-0.9979,1.69
sess_0001,2026-05-14T10:50:00+00:00,9.94,,0.27,54.47,5.37,0.06,0.03,0,0.13,-0.9914,1.7
sess_0001,2026-05-14T10:51:00+00:00,10.63,,0.25,50.7,8.82,0.05,0.02,0,0.13,-0.9808,1.71
sess_0001,2026-05-14T10:52:00+00:00,9.16,,0.24,54.28,2.73,0.05,0.02,1,0.11,-0.9659,1.72
sess_0001,2026-05-14T10:53:00+00:00,9.41,,0.26,48.4,6.17,0.05,0.03,1,0.06,-0.9469,1.73
sess_0001,2026-05-14T10:54:00+00:00,8.3,,0.26,49.46,6.54,0.05,0.02,1,0.09,-0.9239,1.74
sess_0001,2026-05-14T10:55:00+00:00,10.38,,0.28,44.59,5.45,0.04,0.03,0,0.1,-0.8969,1.75
sess_0001,2026-05-14T10:56:00+00:00,12.21,,0.23,44.24,5.12,0.05,0.02,0,0.05,-0.866,1.76
sess_0001,2026-05-14T10:57:00+00:00,10.72,,0.25,55.57,6.84,0.06,0.02,1,0.07,-0.8315,1.77
sess_0001,2026-05-14T10:58:00+00:00,10.18,,0.25,53.19,4.16,0.05,0.03,0,0.1,-0.7934,1.78
sess_0001,2026-05-14T10:59:00+00:00,9.05,,0.25,50.6,3.54,0.05,0.03,1,0.09,-0.7518,1.79
sess_0001,2026-05-14T11:00:00+00:00,9.56,,0.24,48.39,4.42,0.06,0.03,1,0.08,-0.7071,1.8
sess_0001,2026-05-14T11:01:00+00:00,10.32,,0.26,50.7,5.55,0.05,0.02,0,0.1,-0.6593,1.81
sess_0001,2026-05-14T11:02:00+00:00,10.88,,0.27,49.32,4.47,0.05,0.03,1,0.13,-0.6088,1.82
sess_0001,2026-05-14T11:03:00+00:00,10.01,,0.28,54.29,3.04,0.05,0.03,1,0.11,-0.5556,1.83
sess_0001,2026-05-14T11:04:00+00:00,10.98,,0.3,52.74,4.02,0.05,0.03,1,0.1,-0.5,1.84
sess_0001,2026-05-14T11:05:00+00:00,10.88,,0.27,48.21,4.1,0.05,0.02,1,0.09,-0.4423,1.85
sess_0001,2026-05-14T11:06:00+00:00,8.06,,0.28,57.99,5.45,0.05,0.03,1,0.06,-0.3827,1.86
sess_0001,2026-05-14T11:07:00+00:00,10.57,,0.24,52.72,4.58,0.05,0.03,1,0.1,-0.3214,1.87
sess_0001,2026-05-14T11:08:00+00:00,8.73,,0.25,49.04,5.47,0.05,0.03,0,0.13,-0.2588,1.88
sess_0001,2026-05-14T11:09:00+00:00,10.79,,0.23,53.03,5.84,0.05,0.03,0,0.1,-0.1951,1.89
sess_0001,2026-05-14T11:10:00+00:00,9.55,,0.24,49.41,6.3,0.06,0.02,0,0.14,-0.1305,1.9
sess_0001,2026-05-14T11:11:00+00:00,10.36,,0.29,53.36,5.24,0.05,0.02,0,0.05,-0.0654,1.91
sess_0001,2026-05-14T11:12:00+00:00,10.82,,0.29,48.39,7.02,0.05,0.02,0,0.1,0.0,1.92
sess_0001,2026-05-14T11:13:00+00:00,9.51,,0.25,49.63,4.58,0.05,0.02,0,0.12,0.0654,1.93
sess_0001,2026-05-14T11:14:00+00:00,10.26,,0.27,55.19,6.74,0.05,0.03,0,0.07,0.1305,1.94
sess_0001,2026-05-14T11:15:00+00:00,10.01,,0.26,50.77,6.32,0.06,0.02,1,0.1,0.1951,1.95
sess_0001,2026-05-14T11:16:00+00:00,9.86,,0.25,48.04,6.12,0.06,0.03,1,0.12,0.2588,1.96
sess_0001,2026-05-14T11:17:00+00:00,9.76,,0.26,41.88,5.88,0.05,0.03,1,0.09,0.3214,1.97
sess_0001,2026-05-14T11:18:00+00:00,8.7,,0.24,44.14,5.52,0.05,0.02,1,0.1,0.3827,1.98
sess_0001,2026-05-14T11:19:00+00:00,10.11,,0.27,52.05,3.41,0.05,0.02,0,0.13,0.4423,1.99
sess_0002,2026-05-14T11:20:00+00:00,8.83,,0.26,51.68,4.75,0.05,0.03,0,0.14,0.5,2.0
sess_0002,2026-05-14T11:21:00+00:00,10.44,,0.26,50.03,7.23,0.06,0.03,0,0.09,0.5556,2.01
sess_0002,2026-05-14T11:22:00+00:00,10.67,,0.23,51.5,3.85,0.05,0.02,1,0.11,0.6088,2.02
sess_0002,2026-05-14T11:23:00+00:00,10.69,,0.25,55.01,2.92,0.05,0.02,0,0.12,0.6593,2.03
sess_0002,2026-05-14T11:24:00+00:00,9.75,,0.26,53.07,5.68,0.05,0.02,0,0.09,0.7071,2.04
sess_0002,2026-05-14T11:25:00+00:00,10.42,,0.27,46.32,1.08,0.05,0.03,0,0.07,0.7518,2.05
sess_0002,2026-05-14T11:26:00+00:00,10.45,,0.23,46.99,5.14,0.05,0.03,1,0.11,0.7934,2.06
sess_0002,2026-05-14T11:27:00+00:00,10.63,,0.28,49.23,6.33,0.05,0.02,1,0.1,0.8315,2.07
sess_0002,2026-05-14T11:28:00+00:00,10.58,,0.22,52.33,7.24,0.05,0.03,1,0.09,0.866,2.08
sess_0002,2026-05-14T11:29:00+00:00,9.99,,0.24,50.29,5.37,0.05,0.02,0,0.12,0.8969,2.09
sess_0002,2026-05-14T11:30:00+00:00,7.81,,0.23,53.52,2.99,0.05,0.03,1,0.08,0.9239,2.1
sess_0002,2026-05-14T11:31:00+00:00,10.85,,0.28,52.81,1.13,0.06,0.02,0,0.1,0.9469,2.11
sess_0002,2026-05-14T11:32:00+00:00,10.6,,0.22,53.18,6.58,0.05,0.02,1,0.18,0.9659,2.12
sess_0002,2026-05-14T11:33:00+00:00,8.92,,0.27,51.97,7.85,0.05,0.03,1,0.12,0.9808,2.13
sess_0002,2026-05-14T11:34:00+00:00,11.03,,0.22,55.04,5.17,0.05,0.02,1,0.15,0.9914,2.14
sess_0002,2026-05-14T11:35:00+00:00,9.22,,0.21,50.8,4.88,0.05,0.03,1,0.07,0.9979,2.15
sess_0002,2026-05-14T11:36:00+00:00,10.5,,0.29,58.1,4.99,0.05,0.03,1,0.1,1.0,2.16
sess_0002,2026-05-14T11:37:00+00:00,10.37,,0.25,51.61,3.78,0.05,0.02,1,0.1,0.9979,2.17
